State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
ID,ACAM,MUD LAKE TEL COOP,2015,,82,0
ID,ACAM,MUD LAKE TEL COOP,2016,,82,0
ID,ACAM,MUD LAKE TEL COOP,2017,,280,823735.32
ID,ACAM,MUD LAKE TEL COOP,2018,,310,2059338.48
ID,ACAM,MUD LAKE TEL COOP,2019,,332,3293187.6
ID,ACAM,MUD LAKE TEL COOP,2020,272,381,4527036.72
ID,ACAM,PROJECT MUTUAL TEL,2016,,33,0
ID,ACAM,PROJECT MUTUAL TEL,2017,,59,2004378.72
ID,ACAM,PROJECT MUTUAL TEL,2018,,330,4716185.28
ID,ACAM,PROJECT MUTUAL TEL,2019,,1046,7355498.64
ID,ACAM,PROJECT MUTUAL TEL,2020,1202,1540,9994812
ID,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2015,,32,0
ID,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2016,,54,0
ID,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2017,,58,1065364.56
ID,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2018,,58,2367477.12
ID,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2019,,350,3626382.24
ID,ACAM,"TELEPHONE AND DATA SYSTEMS, INC.",2020,507,689,4885287.36
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2006,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2007,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2008,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2009,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2010,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2011,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2012,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2013,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2014,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2015,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2016,,178,0
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2017,,179,560457.48
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2018,,187,1168092.24
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2019,,271,1839013.8
ID,ACAM,WESTERN ELITE INCORPORATED SERVICES,2020,155,322,2509935.36
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2007,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2008,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2009,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2010,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2011,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2012,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2013,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2014,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2015,,1,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2016,,2,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2017,,2,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2018,,2294,0
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2019,,2396,3880865.76
ID,ACAM II,"HORIZON COMMUNICATIONS, INC.",2020,,2400,8878163.52
ID,CAF II,"CENTURYLINK, INC.",2015,,48,5114942
ID,CAF II,"CENTURYLINK, INC.",2016,,160,11394806
ID,CAF II,"CENTURYLINK, INC.",2017,4947,180,17674670
ID,CAF II,"CENTURYLINK, INC.",2018,7421,558,23954534
ID,CAF II,"CENTURYLINK, INC.",2019,9894,1902,30234398
ID,CAF II,"CENTURYLINK, INC.",2020,12367,10899,36514262
ID,CAF II,"NORTHWEST FIBER, LLC",2015,,1984,6369825
ID,CAF II,"NORTHWEST FIBER, LLC",2016,,2945,16072119
ID,CAF II,"NORTHWEST FIBER, LLC",2017,4005,4087,24041157
ID,CAF II,"NORTHWEST FIBER, LLC",2018,6008,6238,30276934
ID,CAF II,"NORTHWEST FIBER, LLC",2019,8010,8015,35501638
ID,CAF II,"NORTHWEST FIBER, LLC",2020,10012,10031,40726342
ID,CAF II Auc,"NEWMAX, LLC DBA INTERMAX NETWORKS",2020,,1304,939642.12
ID,CAF II Auc,RED SPECTRUM,2020,,148,47823.93
ID,CAF-BLS,ALBION TEL CO-ATC,2016,,507,0
ID,CAF-BLS,ALBION TEL CO-ATC,2017,,675,1934046
ID,CAF-BLS,ALBION TEL CO-ATC,2018,,995,4645200
ID,CAF-BLS,ALBION TEL CO-ATC,2019,,1141,8481258
ID,CAF-BLS,ALBION TEL CO-ATC,2020,,1268,12709566
ID,CAF-BLS,CUSTER TEL COOP,2016,,66,0
ID,CAF-BLS,CUSTER TEL COOP,2017,,168,828612
ID,CAF-BLS,CUSTER TEL COOP,2018,,257,1850262
ID,CAF-BLS,CUSTER TEL COOP,2019,,444,3185436
